hostname,state,software,user_count,note_count,peer_count,discovered_at
mescl.in,up,pleroma,1,6,624,1612578269
social.l4m1.de,up,mastodon,1,0,610,1667254124
mastodon.davidpeach.co.uk,up,mastodon,1,199,3236,1612578269
arachnid.town,up,pleroma,31,136956,5423,1642648575
quitter.pl,up,friendica,42,15395,13663,1612578266
duanshu.xyz,up,mastodon,1,16,274,1636304582
blog.wideboys.org,up,writefreely,4,8,,1665392877
brandenburg.social,up,mastodon,67,651,2398,1612578347
maybe.pizza,up,mastodon,2,2,78,1668241192
pixelfed.gdgd.jp.net,up,pixelfed,28,1407,624,1643667941
comfycamp.space,up,pleroma,1,3,648,1664654056
tinker.crq.systems,up,wordpress,2,16,,1667940804
ocf.masto.host,up,mastodon,53,4357,1749,1612578346
ounse.hanntac.net,up,funkwhale,2,,,1667927541
thecreatives.social,up,mastodon,3,17,549,1668047049
bpd.monster,up,mastodon,1,11,700,1658533590
arcade.kertho.me,up,pleroma,2,20,550,1668228749
pantsmanuk.org,up,mastodon,1,2,100,1668129858
neovibe.app,up,mastodon,3,59,1264,1668030509
cancelcultu.re,up,mastodon,3,1,1546,1667169607
mas.to,up,mastodon,109836,1490390,19162,1612578271
natudon-outdoor.net,up,,,,,1612578344
5280.city,up,mastodon,7,112,1713,1667713509
pixels.runningwithbulls.com,up,pixelfed,1,22,8,1648068897
crashtodon.net,up,mastodon,14,144,60,1644011575
occitania.social,up,mastodon,73,208,565,1668165893
refusal.biz,up,pleroma,23,32056,5149,1663738274
ehr.scot,up,mastodon,8,65,1087,1667948774
social.fedida.com,up,mastodon,2,2,74,1668369888
social.lambda.scot,up,mastodon,1,1,452,1668058320
social.anzix.net,up,gotosocial,1,0,3,1667303346
peertube.plataformess.org,up,peertube,16,132,,1624102705
social.fuzzyoverlords.org,up,mastodon,3,81,2286,1667715658
hemmer.land,up,mastodon,2,399,3667,1612578345
fukeaka.ink,up,mastodon,17,1201,3064,1612578267
thebigeasy.space,up,mastodon,22,1500,6526,1651020347
mastodon.ropable.com,up,mastodon,3,118,1030,1635082046
weremember.social,up,mastodon,3,10,263,1668375647
mastodon-dus.de,up,mastodon,4,96,700,1667325554
carlnimbus.com,up,mastodon,1,38,787,1662693036
opensocial.at,up,friendica,746,80528,13963,1612578269
checksum.fail,up,pleroma,1,1,232,1667821346
a.dags.dk,up,mastodon,1,5,135,1651092857
mastodon.coffee,up,mastodon,1366,68847,9357,1612578392
social.careyscloud.ie,up,mastodon,1,33,1997,1667685989
nixeneko.info,up,pleroma,2,28501,3579,1612578271
sns.ikx.kr,up,mastodon,1,84,115,1661480851
mastodon.jorgejarai.xyz,up,mastodon,1,2,530,1668031162
xtinalee.xyz,up,mastodon,2,2,154,1667877979
social.unzensiert.to,up,mastodon,193,154,391,1654461862
social.foxdn.net,up,pleroma,1,50,1436,1651443982
weirder.earth,up,hometown,1044,884221,17996,1612578269
social.joostagterhoek.nl,up,pleroma,1,55,2073,1650377672
ecoevo.social,up,mastodon,2348,17213,6510,1667426972
lol.indiefedi.party,up,gotosocial,2,27,29,1668288019
blog.troch.org,up,mastodon,1,7,0,1647662720
jax.social,up,mastodon,8,30,2147,1621441389
geno.social,up,mastodon,56,4499,7172,1612578270
moosetodon.com,up,mastodon,1,126,3091,1667496099
social.pixie.town,up,mastodon,42,97155,11862,1612578268
micro.guedes.com.pt,up,pleroma,1,175,3004,1653008342
hornyjail.pro,up,pleroma,1,1746,2834,1665787363
micro.koray.al,up,mastodon,1,8,58,1612585465
brown-family.org.uk,up,wordpress,3,1960,,1668079205
pma.datalabour.com,up,pleroma,1,4,724,1668024605
social.seattle.wa.us,up,mastodon,234,7764,12958,1612578270
jmbwell.me,up,microblogpub,1,51,,1665668342
webassembly.social,up,mastodon,43,342,369,1612578269
mastodon.boiler.social,up,mastodon,13,919,4929,1652773786
m.yerp.io,up,mastodon,2,13,372,1668228749
pkm.social,up,mastodon,387,656,2371,1668090379
mstdn.lalafell.org,up,mastodon,80,6491,2091,1612578270
venera.social,up,friendica,1082,48947,10189,1612578266
wp-social.net,up,mastodon,224,10540,7349,1612578269
anosdesiertos.love,up,mastodon,5,140,1305,1661790196
layer8.space,up,mastodon,1975,112500,17238,1612578265
greendragon.pub,up,mastodon,3,103,1806,1667768761
pixelfed.lundgrensjostrom.com,up,pixelfed,1,17,6,1612578348
social.okoyono.de,up,mastodon,12,2134,8781,1612578266
pleroma.gugli.me,up,pleroma,1,3,158,1668126740
empathiebullshit.de,up,writefreely,1,44,,1643216691
saptodon.org,up,mastodon,47,132,1643,1667821346
mast.1dot0.io,up,mastodon,3,98,1097,1667742710
mdn.hinaloe.net,up,mastodon,35,17885,7157,1612578267
soc.zom.bi,up,mastodon,5,1249,6183,1612578270
social.gaming-gorilla.de,up,mastodon,1,24,1714,1668045895
social.keda.re,up,mastodon,1,71,3468,1667397346
foxfamily.online,up,mastodon,2,0,1,1667954067
todon.eu,up,mastodon,3706,234642,12859,1612578269
live.byzero.de,up,,1,8,0,1665513948
lehrmastodon.com,up,mastodon,5,5,830,1612578270
srsly.lol,up,mastodon,2,1,2,1668228749
social.fetziverse.de,up,pleroma,1,186,982,1612578267
reading.taks.garden,up,bookwyrm,8,1210,157,1632324522
social.foltran.dev,up,mastodon,1,1,679,1667948752
meow.cloud,up,mastodon,14,282,1330,1639997058
social.anufrij.de,up,mastodon,2,691,3711,1629144776
soc.ultratumba.dynu.net,up,pleroma,2,0,117,1667839960
cybermage.sh,up,mastodon,2,4,490,1651184559
tampabayocculture.club,up,wordpress,5,17,,1612578347
seocommunity.social,up,mastodon,551,3093,3847,1667622856
pleroma.microkod.xyz,up,pleroma,3,30,3568,1628537712
video.rubdos.be,up,peertube,2,16460,,1612578347
silverspine.net,up,mastodon,2,34,598,1667721589
test.socaas.site,up,gotosocial,2,1,17,1668126754
pleroma.boingo00.wtf,up,pleroma,1,85,1093,1664901904
friendica.rlp.schule,up,friendica,0,0,0,1664499213
mastodon.kayloehmann.de,up,mastodon,1,46,1184,1667038575
social.helvetica.fm,up,mastodon,3,120,1055,1667785996
social.etwas42.de,up,mastodon,2,73,1296,1612578346
gdev.fedibird.com,up,mastodon,6,3275,578,1612578346
stream.apontaeclica.com,up,,1,11,0,1647669671
shawnhooper.ca,up,wordpress,1,71,,1667927363
tjatse.no,up,mastodon,2,0,118,1667421760
social.lwis.me,up,gotosocial,1,2,61,1667742596
akaface.com,up,mastodon,1,4,24,1668156550
notacult.social,up,mastodon,54,1975,6004,1665574502
seaofog.com,up,mastodon,1706,196034,5375,1632382237
mastodooooooon.xyz,up,mastodon,42,174720,7099,1612578266
mastodon.cryptonomic.tech,up,mastodon,8,40,286,1658502913
mastodon.triofan.com,up,mastodon,1,0,1,1612582512
mastodon.openformation.io,up,mastodon,1,2,65,1668126754
social.petris.net,up,mastodon,1,2,1128,1612578344
tube.cyberia.club,up,peertube,12,9055,,1662404922
tuiter.rocks,up,mastodon,26,5482,2521,1667754014
www.mypeer.tube,up,peertube,3,20,,1667394185
mast.gg,up,mastodon,2,10,1136,1667768414
s3lph.me,up,pelican-activitypub,1,26,,1668032313
don.tawa.wtf,up,mastodon,2,2,1583,1668196259
social.boiledscript.com,up,misskey,13,342,4593,1635772930
yt.x1337x.fr,up,peertube,2,212,,1651087820
social.oc.is,up,mastodon,2,18,475,1668205399
mastodon.nikhiltrivedi.com,up,mastodon,3,12,266,1667718485
livellosegreto.it,up,mastodon,3944,176101,8249,1648511628
justinferriman.com,up,writefreely,1,89,,1630481330
gochisou.photo,up,mastodon,171,66746,4506,1612578268
bird.seafoam.space,up,birdsitelive,8,0,,1656742312
