hostname,state,software,user_count,note_count,peer_count,discovered_at
pixel.artemai.art,up,pixelfed,6,68,348,1667562730
mastodon.glenparva.com,up,mastodon,1,3,587,1667714824
mastodon.rosseaux.com,up,mastodon,1,12,2908,1666977114
eeeeeeeee.eu,up,akkoma,2,1083,8412,1660047109
jloo.no-ip.org,up,mastodon,5,3,3,1641836047
ieji.de,up,mastodon,6119,85367,17320,1612578267
masto.fdlibre.eu,up,mastodon,7,1965,5435,1612578265
gamedev.au,up,mastodon,2,1,64,1667680154
mastodon.no2nd.earth,up,mastodon,37,3751,3602,1653062653
bakunet.me,up,mastodon,1,12,820,1667776385
mastodon.fraize.com,up,mastodon,11,498,4837,1667349968
chaosgate.eu,up,mastodon,1,27,311,1668124746
pixel.rmendes.net,up,pixelfed,1,0,5,1612578267
social.hessis.xyz,up,mastodon,2,3,749,1667134726
fribygda.no,up,mastodon,25,1057,3970,1667505789
social.saarland,up,mastodon,275,29201,12103,1612578270
cztwitter.cz,up,mastodon,375,4586,2659,1667441931
lifeof.ahabitual.dev,up,pixelfed,1,0,0,1612578346
social.escovan.net,up,mastodon,1,28,876,1668062964
net4sw.com,up,mastodon,256,1317,4930,1612578266
demoarts.social,up,gotosocial,1,212,117,1658328979
vocabar.net,up,,46,40197,292,1612578867
imaginary-sponge-hook.glitch.me,up,mastodon,130634,6102658,18634,1668309816
test.moontreeproject.org,up,,,,1,1612578346
cybr.es,up,mastodon,4,1542,3589,1612578269
sandbox.mastodon.vlaanderen,up,mastodon,2,1,13,1668070057
mastodon.nordgedanken.dev,up,mastodon,1,266,1945,1621808012
mastodon.pratl.net,up,mastodon,2,11,50,1668450715
xdest.com,up,wordpress,1,57,,1668027019
mb.maxng.cc,up,pleroma,1,16,10,1639649496
climatejustice.social,up,mastodon,9554,113385,11654,1612578268
mumak.app,up,mastodon,2,25,514,1667944730
wokka.be,up,mastodon,81,6876,4845,1612578268
dunglas.dev,up,wordpress,1,310,,1663851470
glaubens.zone,up,wordpress,3,5,,1612578346
cliq.buzz,up,pixelfed,1145,306,22,1612578346
social.4lgorhythm.com,up,mastodon,1,32,1764,1667110879
mobilize.adminforge.de,up,Mobilizon,4,4,,1645325244
mastodon.ml,up,mastodon,1066,497118,12525,1612578271
noise.exode.me,up,funkwhale,4,,,1652010423
pl.glownow.club,up,pleroma,2,28,629,1668318607
leporid.net,up,mastodon,2,16,1060,1668066144
social.opendesktop.org,up,mastodon,1130,2695,4952,1612578346
posvib.es,up,mastodon,27,125,1344,1612578345
omani.social,up,mastodon,9,18,216,1667629108
mastodon.migennes.net,up,mastodon,15,2865,223,1612578344
someone.elses.computer,up,mastodon,37,2122,5080,1666960634
bsl.allofti.me,up,birdsitelive,5,0,,1668389313
social.x220.co.uk,up,pleroma,1,124,2145,1613333007
social.donar.dev,up,mastodon,3,118,1961,1667525710
pt.bolapara.mywire.org,up,peertube,2,69,,1659216860
apertatube.net,up,peertube,25,195,,1658788263
